date,date_frac,m.y,country,code,cases,outbreak
01/12/2013,2013.914462,Dec.13,Bahamas,BHS,0,
01/01/2014,2014,Jan.14,Bahamas,BHS,0,
01/02/2014,2014.084875,Feb.14,Bahamas,BHS,0,
01/03/2014,2014.161537,Mar.14,Bahamas,BHS,0,
01/04/2014,2014.246412,Apr.14,Bahamas,BHS,0,
01/05/2014,2014.328549,May.14,Bahamas,BHS,0,
01/06/2014,2014.413424,Jun.14,Bahamas,BHS,0,
01/07/2014,2014.495562,Jul.14,Bahamas,BHS,1,s
01/08/2014,2014.580437,Aug.14,Bahamas,BHS,79,
01/09/2014,2014.665312,Sep.14,Bahamas,BHS,0,
01/10/2014,2014.747449,Oct.14,Bahamas,BHS,506,
01/11/2014,2014.832324,Nov.14,Bahamas,BHS,1005,
01/12/2014,2014.914462,Dec.14,Bahamas,BHS,50,
01/01/2015,2015,Jan.15,Bahamas,BHS,222,
01/02/2015,2015.084875,Feb.15,Bahamas,BHS,1,
01/03/2015,2015.161537,Mar.15,Bahamas,BHS,0,
01/04/2015,2015.246412,Apr.15,Bahamas,BHS,3,e
01/05/2015,2015.328549,May.15,Bahamas,BHS,0,
01/06/2015,2015.413424,Jun.15,Bahamas,BHS,0,
01/07/2015,2015.495562,Jul.15,Bahamas,BHS,0,
01/08/2015,2015.580437,Aug.15,Bahamas,BHS,0,
01/09/2015,2015.665312,Sep.15,Bahamas,BHS,0,
01/10/2015,2015.747449,Oct.15,Bahamas,BHS,0,
01/11/2015,2015.832324,Nov.15,Bahamas,BHS,0,
01/12/2015,2015.914462,Dec.15,Bahamas,BHS,0,
01/01/2016,2016,Jan.16,Bahamas,BHS,0,
01/02/2016,2016.084875,Feb.16,Bahamas,BHS,0,
01/03/2016,2016.164275,Mar.16,Bahamas,BHS,0,
01/04/2016,2016.24915,Apr.16,Bahamas,BHS,0,
01/05/2016,2016.331287,May.16,Bahamas,BHS,76,
01/06/2016,2016.416162,Jun.16,Bahamas,BHS,0,
01/07/2016,2016.498299,Jul.16,Bahamas,BHS,0,
01/08/2016,2016.583175,Aug.16,Bahamas,BHS,0,
01/09/2016,2016.66805,Sep.16,Bahamas,BHS,0,
01/10/2016,2016.750187,Oct.16,Bahamas,BHS,0,
01/11/2016,2016.835062,Nov.16,Bahamas,BHS,0,
01/12/2016,2016.9172,Dec.16,Bahamas,BHS,0,
01/12/2013,2013.914462,Dec.13,Brazil,BRA,0,
01/01/2014,2014,Jan.14,Brazil,BRA,0,
01/02/2014,2014.084875,Feb.14,Brazil,BRA,0,
01/03/2014,2014.161537,Mar.14,Brazil,BRA,0,
01/04/2014,2014.246412,Apr.14,Brazil,BRA,0,
01/05/2014,2014.328549,May.14,Brazil,BRA,0,
01/06/2014,2014.413424,Jun.14,Brazil,BRA,0,
01/07/2014,2014.495562,Jul.14,Brazil,BRA,0,
01/08/2014,2014.580437,Aug.14,Brazil,BRA,0,
01/09/2014,2014.665312,Sep.14,Brazil,BRA,2,
01/10/2014,2014.747449,Oct.14,Brazil,BRA,171,
01/11/2014,2014.832324,Nov.14,Brazil,BRA,0,
01/12/2014,2014.914462,Dec.14,Brazil,BRA,1922,
01/01/2015,2015,Jan.15,Brazil,BRA,806,
01/02/2015,2015.084875,Feb.15,Brazil,BRA,1115,
01/03/2015,2015.161537,Mar.15,Brazil,BRA,1339,
01/04/2015,2015.246412,Apr.15,Brazil,BRA,436,
01/05/2015,2015.328549,May.15,Brazil,BRA,160,
01/06/2015,2015.413424,Jun.15,Brazil,BRA,0,
01/07/2015,2015.495562,Jul.15,Brazil,BRA,5276,
01/08/2015,2015.580437,Aug.15,Brazil,BRA,400,
01/09/2015,2015.665312,Sep.15,Brazil,BRA,2791,
01/10/2015,2015.747449,Oct.15,Brazil,BRA,1582,
01/11/2015,2015.832324,Nov.15,Brazil,BRA,2506,
01/12/2015,2015.914462,Dec.15,Brazil,BRA,0,
01/01/2016,2016,Jan.16,Brazil,BRA,2593,
01/01/2016,2016,Jan.16,Brazil,BRA,0,s
01/02/2016,2016.084875,Feb.16,Brazil,BRA,0,
01/03/2016,2016.164275,Mar.16,Brazil,BRA,2766,
01/04/2016,2016.24915,Apr.16,Brazil,BRA,36251,
01/05/2016,2016.331287,May.16,Brazil,BRA,28098,
01/06/2016,2016.416162,Jun.16,Brazil,BRA,55580,
01/07/2016,2016.498299,Jul.16,Brazil,BRA,82228,
01/08/2016,2016.583175,Aug.16,Brazil,BRA,87428,
01/09/2016,2016.66805,Sep.16,Brazil,BRA,128674,
01/10/2016,2016.750187,Oct.16,Brazil,BRA,87428,
01/11/2016,2016.835062,Nov.16,Brazil,BRA,20185,
01/12/2016,2016.9172,Dec.16,Brazil,BRA,27311,
01/02/2017,2017.084875,Feb.17,Brazil,BRA,3754,
01/03/2017,2017.161537,Mar.17,Brazil,BRA,0,e
01/12/2016,2016.9172,Dec.16,Brazil,BRA,0,s
01/02/2017,2017.084875,Feb.17,Brazil,BRA,0,
01/03/2017,2017.161538,Mar.17,Brazil,BRA,2184,
01/04/2017,2017.246412,Apr.17,Brazil,BRA,16560,
01/05/2017,2017.328549,May.17,Brazil,BRA,54095,
01/07/2017,2017.495562,Jul.17,Brazil,BRA,50800,
01/08/2017,2017.580437,Aug.17,Brazil,BRA,31386,
01/09/2017,2017.665312,Sep.17,Brazil,BRA,37183,
01/10/2017,2017.747449,Oct.17,Brazil,BRA,0,
01/11/2017,2017.832324,Nov.17,Brazil,BRA,0,
01/12/2017,2017.914462,Dec.17,Brazil,BRA,0,
01/01/2018,2018,Jan.18,Brazil,BRA,0,
01/02/2018,2018.084875,Feb.18,Brazil,BRA,0,e
01/12/2013,2013.914462,Dec.13,Costa Rica,CRI,0,
01/01/2014,2014,Jan.14,Costa Rica,CRI,0,
01/02/2014,2014.084875,Feb.14,Costa Rica,CRI,0,
01/03/2014,2014.161537,Mar.14,Costa Rica,CRI,0,
01/04/2014,2014.246412,Apr.14,Costa Rica,CRI,0,
01/05/2014,2014.328549,May.14,Costa Rica,CRI,0,s
01/06/2014,2014.413424,Jun.14,Costa Rica,CRI,0,
01/07/2014,2014.495562,Jul.14,Costa Rica,CRI,0,
01/08/2014,2014.580437,Aug.14,Costa Rica,CRI,0,
01/09/2014,2014.665312,Sep.14,Costa Rica,CRI,4697,
01/10/2014,2014.747449,Oct.14,Costa Rica,CRI,15006,
01/11/2014,2014.832324,Nov.14,Costa Rica,CRI,19798,
01/12/2014,2014.914462,Dec.14,Costa Rica,CRI,35065,
01/01/2015,2015,Jan.15,Costa Rica,CRI,52778,
01/02/2015,2015.084875,Feb.15,Costa Rica,CRI,49843,
01/03/2015,2015.161537,Mar.15,Costa Rica,CRI,16,
01/04/2015,2015.246412,Apr.15,Costa Rica,CRI,7,
01/05/2015,2015.328549,May.15,Costa Rica,CRI,0,
01/06/2015,2015.413424,Jun.15,Costa Rica,CRI,0,
01/07/2015,2015.495562,Jul.15,Costa Rica,CRI,0,e
01/08/2015,2015.580437,Aug.15,Costa Rica,CRI,0,
01/09/2015,2015.665312,Sep.15,Costa Rica,CRI,0,s
01/10/2015,2015.747449,Oct.15,Costa Rica,CRI,0,
01/11/2015,2015.832324,Nov.15,Costa Rica,CRI,0,
01/12/2015,2015.914462,Dec.15,Costa Rica,CRI,0,
01/01/2016,2016,Jan.16,Costa Rica,CRI,628,
01/02/2016,2016.084875,Feb.16,Costa Rica,CRI,962,
01/03/2016,2016.164275,Mar.16,Costa Rica,CRI,205,
01/04/2016,2016.24915,Apr.16,Costa Rica,CRI,190,
01/05/2016,2016.331287,May.16,Costa Rica,CRI,53,
01/06/2016,2016.416162,Jun.16,Costa Rica,CRI,0,
01/07/2016,2016.498299,Jul.16,Costa Rica,CRI,0,
01/08/2016,2016.583175,Aug.16,Costa Rica,CRI,0,e
01/09/2016,2016.66805,Sep.16,Costa Rica,CRI,0,
01/10/2016,2016.750187,Oct.16,Costa Rica,CRI,402,
01/11/2016,2016.835062,Nov.16,Costa Rica,CRI,192,
01/12/2016,2016.9172,Dec.16,Costa Rica,CRI,146,
01/01/2017,2017,Jan.17,Costa Rica,CRI,27,
01/02/2017,2017.084875,Feb.17,Costa Rica,CRI,48,
01/03/2017,2017.161537,Mar.17,Costa Rica,CRI,51,
01/04/2017,2017.246412,Apr.17,Costa Rica,CRI,20,
01/05/2017,2017.328549,May.17,Costa Rica,CRI,20,
01/06/2017,2017.413424,Jun.17,Costa Rica,CRI,33,
01/07/2017,2017.495562,Jul.17,Costa Rica,CRI,63,
01/08/2017,2017.580437,Aug.17,Costa Rica,CRI,27,
01/09/2017,2017.665312,Sep.17,Costa Rica,CRI,53,
01/10/2017,2017.747449,Oct.17,Costa Rica,CRI,50,
01/11/2017,2017.832324,Nov.17,Costa Rica,CRI,15,
01/12/2017,2017.914462,Dec.17,Costa Rica,CRI,51,
01/12/2013,2013.914462,Dec.13,Dominican Republic,DOM,0,s
01/01/2014,2014,Jan.14,Dominican Republic,DOM,0,
01/02/2014,2014.084875,Feb.14,Dominican Republic,DOM,0,
01/03/2014,2014.161537,Mar.14,Dominican Republic,DOM,0,
01/04/2014,2014.246412,Apr.14,Dominican Republic,DOM,7537,
01/05/2014,2014.328549,May.14,Dominican Republic,DOM,31119,
01/06/2014,2014.413424,Jun.14,Dominican Republic,DOM,126795,
01/07/2014,2014.495562,Jul.14,Dominican Republic,DOM,142482,
01/08/2014,2014.580437,Aug.14,Dominican Republic,DOM,121559,
01/09/2014,2014.665312,Sep.14,Dominican Republic,DOM,56898,
01/10/2014,2014.747449,Oct.14,Dominican Republic,DOM,0,
01/11/2014,2014.832324,Nov.14,Dominican Republic,DOM,12610,
01/12/2014,2014.914462,Dec.14,Dominican Republic,DOM,25381,
01/01/2015,2015,Jan.15,Dominican Republic,DOM,14802,
01/02/2015,2015.084875,Feb.15,Dominican Republic,DOM,0,
01/03/2015,2015.161537,Mar.15,Dominican Republic,DOM,39,
01/04/2015,2015.246412,Apr.15,Dominican Republic,DOM,6,
01/05/2015,2015.328549,May.15,Dominican Republic,DOM,14,
01/06/2015,2015.413424,Jun.15,Dominican Republic,DOM,0,e
01/07/2015,2015.495562,Jul.15,Dominican Republic,DOM,4,
01/08/2015,2015.580437,Aug.15,Dominican Republic,DOM,4,
01/09/2015,2015.665312,Sep.15,Dominican Republic,DOM,0,
01/10/2015,2015.747449,Oct.15,Dominican Republic,DOM,0,
01/11/2015,2015.832324,Nov.15,Dominican Republic,DOM,0,
01/12/2015,2015.914462,Dec.15,Dominican Republic,DOM,0,
01/01/2016,2016,Jan.16,Dominican Republic,DOM,0,
01/02/2016,2016.084875,Feb.16,Dominican Republic,DOM,0,
01/03/2016,2016.164275,Mar.16,Dominican Republic,DOM,0,
01/04/2016,2016.24915,Apr.16,Dominican Republic,DOM,0,
01/05/2016,2016.331287,May.16,Dominican Republic,DOM,0,
01/06/2016,2016.416162,Jun.16,Dominican Republic,DOM,0,
01/07/2016,2016.498299,Jul.16,Dominican Republic,DOM,112,
01/08/2016,2016.583175,Aug.16,Dominican Republic,DOM,0,
01/09/2016,2016.66805,Sep.16,Dominican Republic,DOM,0,
01/10/2016,2016.750187,Oct.16,Dominican Republic,DOM,0,
01/11/2016,2016.835062,Nov.16,Dominican Republic,DOM,0,
01/12/2016,2016.9172,Dec.16,Dominican Republic,DOM,0,
01/12/2013,2013.914462,Dec.13,El Salvador,SLV,0,
01/01/2014,2014,Jan.14,El Salvador,SLV,0,
01/02/2014,2014.084875,Feb.14,El Salvador,SLV,0,
01/03/2014,2014.161537,Mar.14,El Salvador,SLV,0,
01/04/2014,2014.246412,Apr.14,El Salvador,SLV,0,
01/05/2014,2014.328549,May.14,El Salvador,SLV,4,
01/06/2014,2014.413424,Jun.14,El Salvador,SLV,240,
01/07/2014,2014.495562,Jul.14,El Salvador,SLV,0,
01/08/2014,2014.580437,Aug.14,El Salvador,SLV,0,
01/09/2014,2014.665312,Sep.14,El Salvador,SLV,90,
01/10/2014,2014.747449,Oct.14,El Salvador,SLV,0,
01/11/2014,2014.832324,Nov.14,El Salvador,SLV,543,
01/12/2014,2014.914462,Dec.14,El Salvador,SLV,0,s
01/01/2015,2015,Jan.15,El Salvador,SLV,6,
01/02/2015,2015.084875,Feb.15,El Salvador,SLV,0,
01/03/2015,2015.161537,Mar.15,El Salvador,SLV,0,
01/04/2015,2015.246412,Apr.15,El Salvador,SLV,0,
01/05/2015,2015.328549,May.15,El Salvador,SLV,0,
01/06/2015,2015.413424,Jun.15,El Salvador,SLV,4583,
01/07/2015,2015.495562,Jul.15,El Salvador,SLV,9742,
01/08/2015,2015.580437,Aug.15,El Salvador,SLV,10349,
01/09/2015,2015.665312,Sep.15,El Salvador,SLV,5548,
01/10/2015,2015.747449,Oct.15,El Salvador,SLV,0,
01/11/2015,2015.832324,Nov.15,El Salvador,SLV,0,
01/12/2015,2015.914462,Dec.15,El Salvador,SLV,0,
01/01/2016,2016,Jan.16,El Salvador,SLV,0,
01/02/2016,2016.084875,Feb.16,El Salvador,SLV,0,
01/03/2016,2016.164275,Mar.16,El Salvador,SLV,0,e
01/04/2016,2016.24915,Apr.16,El Salvador,SLV,0,
01/05/2016,2016.331287,May.16,El Salvador,SLV,0,
01/06/2016,2016.416162,Jun.16,El Salvador,SLV,0,
01/07/2016,2016.498299,Jul.16,El Salvador,SLV,0,
01/08/2016,2016.583175,Aug.16,El Salvador,SLV,0,
01/09/2016,2016.66805,Sep.16,El Salvador,SLV,0,
01/11/2016,2016.835062,Nov.16,El Salvador,SLV,90,
01/12/2016,2016.9172,Dec.16,El Salvador,SLV,0,
01/12/2016,2016.9172,Dec.16,El Salvador,SLV,121,
01/01/2017,2017,Jan.17,El Salvador,SLV,26,
01/02/2017,2017.084875,Feb.17,El Salvador,SLV,33,
01/03/2017,2017.161537,Mar.17,El Salvador,SLV,106,
01/04/2017,2017.246412,Apr.17,El Salvador,SLV,45,
01/05/2017,2017.328549,May.17,El Salvador,SLV,0,
01/05/2017,2017.328549,May.17,El Salvador,SLV,39,
01/06/2017,2017.413424,Jun.17,El Salvador,SLV,85,
01/07/2017,2017.495562,Jul.17,El Salvador,SLV,48,
01/08/2017,2017.580437,Aug.17,El Salvador,SLV,30,
01/09/2017,2017.665312,Sep.17,El Salvador,SLV,57,
01/10/2017,2017.747449,Oct.17,El Salvador,SLV,48,
01/11/2017,2017.832324,Nov.17,El Salvador,SLV,31,
01/12/2017,2017.914462,Dec.17,El Salvador,SLV,33,
01/12/2013,2013.914462,Dec.13,Haiti,HTI,0,
01/01/2014,2014,Jan.14,Haiti,HTI,0,s
01/02/2014,2014.084875,Feb.14,Haiti,HTI,0,
01/03/2014,2014.161537,Mar.14,Haiti,HTI,0,
01/04/2014,2014.246412,Apr.14,Haiti,HTI,0,
01/05/2014,2014.328549,May.14,Haiti,HTI,6318,
01/06/2014,2014.413424,Jun.14,Haiti,HTI,45526,
01/07/2014,2014.495562,Jul.14,Haiti,HTI,12865,
01/08/2014,2014.580437,Aug.14,Haiti,HTI,0,
01/09/2014,2014.665312,Sep.14,Haiti,HTI,0,
01/10/2014,2014.747449,Oct.14,Haiti,HTI,0,
01/11/2014,2014.832324,Nov.14,Haiti,HTI,0,e
01/12/2014,2014.914462,Dec.14,Haiti,HTI,0,
01/01/2015,2015,Jan.15,Haiti,HTI,0,
01/02/2015,2015.084875,Feb.15,Haiti,HTI,0,
01/03/2015,2015.161537,Mar.15,Haiti,HTI,0,
01/04/2015,2015.246412,Apr.15,Haiti,HTI,0,
01/05/2015,2015.328549,May.15,Haiti,HTI,0,
01/06/2015,2015.413424,Jun.15,Haiti,HTI,0,
01/07/2015,2015.495562,Jul.15,Haiti,HTI,0,
01/08/2015,2015.580437,Aug.15,Haiti,HTI,0,
01/09/2015,2015.665312,Sep.15,Haiti,HTI,0,
01/10/2015,2015.747449,Oct.15,Haiti,HTI,0,
01/11/2015,2015.832324,Nov.15,Haiti,HTI,0,
01/12/2015,2015.914462,Dec.15,Haiti,HTI,0,
01/01/2016,2016,Jan.16,Haiti,HTI,0,
01/02/2016,2016.084875,Feb.16,Haiti,HTI,0,
01/03/2016,2016.164275,Mar.16,Haiti,HTI,0,
01/04/2016,2016.24915,Apr.16,Haiti,HTI,3,
01/05/2016,2016.331287,May.16,Haiti,HTI,0,
01/06/2016,2016.416162,Jun.16,Haiti,HTI,0,
01/07/2016,2016.498299,Jul.16,Haiti,HTI,0,
01/08/2016,2016.583175,Aug.16,Haiti,HTI,0,
01/09/2016,2016.66805,Sep.16,Haiti,HTI,0,
01/10/2016,2016.750187,Oct.16,Haiti,HTI,0,
01/11/2016,2016.835062,Nov.16,Haiti,HTI,0,
01/12/2016,2016.9172,Dec.16,Haiti,HTI,0,
01/12/2013,2013.914462,Dec.13,Jamaica,JAM,0,
01/01/2014,2014,Jan.14,Jamaica,JAM,0,
01/02/2014,2014.084875,Feb.14,Jamaica,JAM,0,
01/03/2014,2014.161537,Mar.14,Jamaica,JAM,0,s
01/04/2014,2014.246412,Apr.14,Jamaica,JAM,0,
01/05/2014,2014.328549,May.14,Jamaica,JAM,0,
01/06/2014,2014.413424,Jun.14,Jamaica,JAM,0,
